date,mens underwear,State
2015-05-10,39,CO
2015-05-17,52,CO
2015-05-24,28,CO
2015-05-31,41,CO
2015-06-07,28,CO
2015-06-14,27,CO
2015-06-21,26,CO
2015-06-28,26,CO
2015-07-05,0,CO
2015-07-12,76,CO
2015-07-19,26,CO
2015-07-26,26,CO
2015-08-02,39,CO
2015-08-09,100,CO
2015-08-16,24,CO
2015-08-23,46,CO
2015-08-30,23,CO
2015-09-06,23,CO
2015-09-13,0,CO
2015-09-20,21,CO
2015-09-27,21,CO
2015-10-04,21,CO
2015-10-11,23,CO
2015-10-18,24,CO
2015-10-25,58,CO
2015-11-01,23,CO
2015-11-08,24,CO
2015-11-15,35,CO
2015-11-22,40,CO
2015-11-29,91,CO
2015-12-06,34,CO
2015-12-13,58,CO
2015-12-20,29,CO
2015-12-27,0,CO
2016-01-03,37,CO
2016-01-10,36,CO
2016-01-17,18,CO
2016-01-24,0,CO
2016-01-31,70,CO
2016-02-07,36,CO
2016-02-14,18,CO
2016-02-21,36,CO
2016-02-28,0,CO
2016-03-06,18,CO
2016-03-13,35,CO
2016-03-20,18,CO
2016-03-27,37,CO
2016-04-03,74,CO
2016-04-10,36,CO
2016-04-17,45,CO
2016-04-24,27,CO
2016-05-01,27,CO
2016-05-08,19,CO
2016-05-15,19,CO
2016-05-22,29,CO
2016-05-29,20,CO
2016-06-05,49,CO
2016-06-12,19,CO
2016-06-19,39,CO
2016-06-26,29,CO
2016-07-03,20,CO
2016-07-10,19,CO
2016-07-17,49,CO
2016-07-24,20,CO
2016-07-31,20,CO
2016-08-07,21,CO
2016-08-14,42,CO
2016-08-21,20,CO
2016-08-28,65,CO
2016-09-04,38,CO
2016-09-11,37,CO
2016-09-18,18,CO
2016-09-25,27,CO
2016-10-02,37,CO
2016-10-09,19,CO
2016-10-16,37,CO
2016-10-23,18,CO
2016-10-30,27,CO
2016-11-06,17,CO
2016-11-13,18,CO
2016-11-20,48,CO
2016-11-27,68,CO
