date,indeed,isPartial,State
2016-03-20,42,False,AR
2016-03-27,56,False,AR
2016-04-03,60,False,AR
2016-04-10,55,False,AR
2016-04-17,45,False,AR
2016-04-24,40,False,AR
2016-05-01,57,False,AR
2016-05-08,64,False,AR
2016-05-15,47,False,AR
2016-05-22,52,False,AR
2016-05-29,48,False,AR
2016-06-05,66,False,AR
2016-06-12,44,False,AR
2016-06-19,52,False,AR
2016-06-26,56,False,AR
2016-07-03,49,False,AR
2016-07-10,57,False,AR
2016-07-17,59,False,AR
2016-07-24,63,False,AR
2016-07-31,74,False,AR
2016-08-07,43,False,AR
2016-08-14,48,False,AR
2016-08-21,58,False,AR
2016-08-28,45,False,AR
2016-09-04,40,False,AR
2016-09-11,51,False,AR
2016-09-18,41,False,AR
2016-09-25,44,False,AR
2016-10-02,46,False,AR
2016-10-09,38,False,AR
2016-10-16,57,False,AR
2016-10-23,50,False,AR
2016-10-30,47,False,AR
2016-11-06,29,False,AR
2016-11-13,51,False,AR
2016-11-20,31,False,AR
2016-11-27,54,False,AR
2016-12-04,37,False,AR
2016-12-11,47,False,AR
2016-12-18,29,False,AR
2016-12-25,43,False,AR
2017-01-01,50,False,AR
2017-01-08,64,False,AR
2017-01-15,48,False,AR
2017-01-22,53,False,AR
2017-01-29,53,False,AR
2017-02-05,49,False,AR
2017-02-12,60,False,AR
2017-02-19,56,False,AR
2017-02-26,39,False,AR
2017-03-05,67,False,AR
2017-03-12,47,False,AR
2017-03-19,71,False,AR
2017-03-26,41,False,AR
2017-04-02,54,False,AR
2017-04-09,48,False,AR
2017-04-16,44,False,AR
2017-04-23,44,False,AR
2017-04-30,66,False,AR
2017-05-07,63,False,AR
2017-05-14,55,False,AR
2017-05-21,52,False,AR
2017-05-28,68,False,AR
2017-06-04,75,False,AR
2017-06-11,80,False,AR
2017-06-18,67,False,AR
2017-06-25,58,False,AR
2017-07-02,67,False,AR
2017-07-09,84,False,AR
2017-07-16,71,False,AR
2017-07-23,82,False,AR
2017-07-30,79,False,AR
2017-08-06,81,False,AR
2017-08-13,79,False,AR
2017-08-20,62,False,AR
2017-08-27,69,False,AR
2017-09-03,62,False,AR
2017-09-10,74,False,AR
2017-09-17,63,False,AR
2017-09-24,79,False,AR
2017-10-01,43,False,AR
2017-10-08,55,False,AR
2017-10-15,54,False,AR
2017-10-22,62,False,AR
2017-10-29,63,False,AR
2017-11-05,55,False,AR
2017-11-12,57,False,AR
2017-11-19,41,False,AR
2017-11-26,60,False,AR
2017-12-03,71,False,AR
2017-12-10,61,False,AR
2017-12-17,56,False,AR
2017-12-24,55,False,AR
2017-12-31,79,False,AR
2018-01-07,67,False,AR
2018-01-14,69,False,AR
2018-01-21,78,False,AR
2018-01-28,80,False,AR
2018-02-04,54,False,AR
2018-02-11,66,False,AR
2018-02-18,69,False,AR
2018-02-25,48,False,AR
2018-03-04,49,False,AR
2018-03-11,39,False,AR
2018-03-18,52,False,AR
2018-03-25,67,False,AR
2018-04-01,70,False,AR
2018-04-08,54,False,AR
2018-04-15,47,False,AR
2018-04-22,56,False,AR
2018-04-29,57,False,AR
2018-05-06,59,False,AR
2018-05-13,95,False,AR
2018-05-20,86,False,AR
2018-05-27,75,False,AR
2018-06-03,55,False,AR
2018-06-10,83,False,AR
2018-06-17,86,False,AR
2018-06-24,89,False,AR
2018-07-01,74,False,AR
2018-07-08,77,False,AR
2018-07-15,93,False,AR
2018-07-22,94,False,AR
2018-07-29,100,False,AR
2018-08-05,72,False,AR
2018-08-12,87,False,AR
2018-08-19,76,False,AR
2018-08-26,57,False,AR
2018-09-02,70,False,AR
2018-09-09,71,False,AR
2018-09-16,85,False,AR
2018-09-23,72,False,AR
2018-09-30,63,False,AR
2018-10-07,72,False,AR
2018-10-14,59,False,AR
2018-10-21,84,False,AR
2018-10-28,59,False,AR
2018-11-04,81,False,AR
2018-11-11,50,False,AR
2018-11-18,59,False,AR
2018-11-25,59,False,AR
2018-12-02,68,False,AR
2018-12-09,61,False,AR
2018-12-16,52,False,AR
