date,jobs,isPartial,State
2011-03-01,63,False,FL
2011-04-01,64,False,FL
2011-05-01,72,False,FL
2011-06-01,80,False,FL
2011-07-01,76,False,FL
2011-08-01,76,False,FL
2011-09-01,73,False,FL
2011-10-01,100,False,FL
2011-11-01,65,False,FL
2011-12-01,57,False,FL
2012-01-01,65,False,FL
2012-02-01,58,False,FL
2012-03-01,57,False,FL
2012-04-01,61,False,FL
2012-05-01,67,False,FL
2012-06-01,70,False,FL
2012-07-01,67,False,FL
2012-08-01,66,False,FL
2012-09-01,66,False,FL
2012-10-01,63,False,FL
2012-11-01,58,False,FL
2012-12-01,48,False,FL
2013-01-01,63,False,FL
2013-02-01,58,False,FL
2013-03-01,53,False,FL
2013-04-01,59,False,FL
2013-05-01,63,False,FL
2013-06-01,63,False,FL
2013-07-01,66,False,FL
2013-08-01,73,False,FL
2013-09-01,66,False,FL
2013-10-01,63,False,FL
2013-11-01,57,False,FL
2013-12-01,52,False,FL
2014-01-01,65,False,FL
2014-02-01,59,False,FL
2014-03-01,57,False,FL
2014-04-01,62,False,FL
2014-05-01,66,False,FL
2014-06-01,68,False,FL
2014-07-01,72,False,FL
2014-08-01,70,False,FL
2014-09-01,68,False,FL
2014-10-01,67,False,FL
2014-11-01,57,False,FL
2014-12-01,53,False,FL
2015-01-01,62,False,FL
2015-02-01,57,False,FL
2015-03-01,60,False,FL
2015-04-01,62,False,FL
2015-05-01,67,False,FL
2015-06-01,71,False,FL
2015-07-01,66,False,FL
2015-08-01,67,False,FL
2015-09-01,66,False,FL
2015-10-01,63,False,FL
2015-11-01,55,False,FL
2015-12-01,51,False,FL
2016-01-01,62,False,FL
2016-02-01,54,False,FL
2016-03-01,57,False,FL
2016-04-01,60,False,FL
2016-05-01,62,False,FL
2016-06-01,63,False,FL
2016-07-01,65,False,FL
2016-08-01,65,False,FL
2016-09-01,62,False,FL
2016-10-01,57,False,FL
2016-11-01,52,False,FL
2016-12-01,52,False,FL
2017-01-01,60,False,FL
2017-02-01,57,False,FL
2017-03-01,56,False,FL
2017-04-01,58,False,FL
2017-05-01,63,False,FL
2017-06-01,68,False,FL
2017-07-01,67,False,FL
2017-08-01,70,False,FL
2017-09-01,54,False,FL
2017-10-01,59,False,FL
2017-11-01,56,False,FL
2017-12-01,50,False,FL
2018-01-01,65,False,FL
2018-02-01,56,False,FL
2018-03-01,56,False,FL
2018-04-01,60,False,FL
2018-05-01,63,False,FL
2018-06-01,68,False,FL
2018-07-01,66,False,FL
2018-08-01,71,False,FL
2018-09-01,65,False,FL
2018-10-01,68,False,FL
2018-11-01,57,False,FL
2018-12-01,56,False,FL
2019-01-01,65,False,FL
2011-01-01,76,False,GA
2011-02-01,66,False,GA
2011-03-01,65,False,GA
2011-04-01,68,False,GA
2011-05-01,74,False,GA
2011-06-01,77,False,GA
2011-07-01,76,False,GA
2011-08-01,84,False,GA
2011-09-01,71,False,GA
2011-10-01,100,False,GA
2011-11-01,61,False,GA
2011-12-01,53,False,GA
2012-01-01,70,False,GA
2012-02-01,63,False,GA
2012-03-01,61,False,GA
2012-04-01,66,False,GA
2012-05-01,71,False,GA
2012-06-01,70,False,GA
