date,resume,isPartial,State
2017-11-12,44,False,AZ
2017-11-19,22,False,AZ
2017-11-26,42,False,AZ
2017-12-03,43,False,AZ
2017-12-10,33,False,AZ
2017-12-17,28,False,AZ
2017-12-24,30,False,AZ
2017-12-31,45,False,AZ
2018-01-07,64,False,AZ
2018-01-14,69,False,AZ
2018-01-21,53,False,AZ
2018-01-28,54,False,AZ
2018-02-04,49,False,AZ
2018-02-11,60,False,AZ
2018-02-18,53,False,AZ
2018-02-25,44,False,AZ
2018-03-04,66,False,AZ
2018-03-11,47,False,AZ
2018-03-18,45,False,AZ
2018-03-25,50,False,AZ
2018-04-01,54,False,AZ
2018-04-08,53,False,AZ
2018-04-15,56,False,AZ
2018-04-22,47,False,AZ
2018-04-29,62,False,AZ
2018-05-06,59,False,AZ
2018-05-13,69,False,AZ
2018-05-20,53,False,AZ
2018-05-27,49,False,AZ
2018-06-03,58,False,AZ
2018-06-10,53,False,AZ
2018-06-17,69,False,AZ
2018-06-24,58,False,AZ
2018-07-01,46,False,AZ
2018-07-08,61,False,AZ
2018-07-15,44,False,AZ
2018-07-22,57,False,AZ
2018-07-29,61,False,AZ
2018-08-05,55,False,AZ
2018-08-12,53,False,AZ
2018-08-19,72,False,AZ
2018-08-26,52,False,AZ
2018-09-02,47,False,AZ
2018-09-09,46,False,AZ
2018-09-16,57,False,AZ
2018-09-23,52,False,AZ
2018-09-30,54,False,AZ
2018-10-07,49,False,AZ
2018-10-14,55,False,AZ
2018-10-21,43,False,AZ
2018-10-28,47,False,AZ
2018-11-04,37,False,AZ
2018-11-11,40,False,AZ
2018-11-18,22,False,AZ
2018-11-25,45,False,AZ
2018-12-02,46,False,AZ
2018-12-09,40,False,AZ
2018-12-16,44,False,AZ
2018-12-23,41,False,AZ
2018-12-30,55,False,AZ
2015-01-04,83,False,AR
2015-01-11,89,False,AR
2015-01-18,82,False,AR
2015-01-25,42,False,AR
2015-02-01,42,False,AR
2015-02-08,26,False,AR
2015-02-15,47,False,AR
2015-02-22,75,False,AR
2015-03-01,42,False,AR
2015-03-08,57,False,AR
2015-03-15,100,False,AR
2015-03-22,87,False,AR
2015-03-29,60,False,AR
2015-04-05,67,False,AR
2015-04-12,70,False,AR
2015-04-19,79,False,AR
2015-04-26,63,False,AR
2015-05-03,46,False,AR
2015-05-10,47,False,AR
2015-05-17,84,False,AR
2015-05-24,82,False,AR
2015-05-31,50,False,AR
2015-06-07,86,False,AR
2015-06-14,44,False,AR
2015-06-21,81,False,AR
2015-06-28,21,False,AR
2015-07-05,60,False,AR
2015-07-12,40,False,AR
2015-07-19,46,False,AR
2015-07-26,36,False,AR
2015-08-02,36,False,AR
2015-08-09,62,False,AR
2015-08-16,57,False,AR
2015-08-23,62,False,AR
2015-08-30,31,False,AR
2015-09-06,32,False,AR
2015-09-13,86,False,AR
2015-09-20,38,False,AR
2015-09-27,60,False,AR
2015-10-04,77,False,AR
2015-10-11,51,False,AR
2015-10-18,53,False,AR
2015-10-25,53,False,AR
2015-11-01,43,False,AR
2015-11-08,26,False,AR
2015-11-15,39,False,AR
2015-11-22,22,False,AR
2015-11-29,49,False,AR
2015-12-06,53,False,AR
2015-12-13,43,False,AR
2015-12-20,20,False,AR
2015-12-27,14,False,AR
2016-01-03,64,False,AR
2016-01-10,38,False,AR
2016-01-17,51,False,AR
2016-01-24,60,False,AR
2016-01-31,30,False,AR
2016-02-07,37,False,AR
2016-02-14,43,False,AR
2016-02-21,54,False,AR
2016-02-28,36,False,AR
2016-03-06,52,False,AR
2016-03-13,29,False,AR
2016-03-20,34,False,AR
2016-03-27,23,False,AR
2016-04-03,38,False,AR
2016-04-10,36,False,AR
2016-04-17,49,False,AR
2016-04-24,48,False,AR
2016-05-01,47,False,AR
2016-05-08,55,False,AR
2016-05-15,37,False,AR
2016-05-22,41,False,AR
2016-05-29,29,False,AR
2016-06-05,36,False,AR
2016-06-12,44,False,AR
2016-06-19,46,False,AR
2016-06-26,31,False,AR
2016-07-03,6,False,AR
2016-07-10,42,False,AR
2016-07-17,33,False,AR
2016-07-24,45,False,AR
2016-07-31,43,False,AR
2016-08-07,51,False,AR
2016-08-14,37,False,AR
2016-08-21,36,False,AR
2016-08-28,32,False,AR
2016-09-04,55,False,AR
2016-09-11,34,False,AR
2016-09-18,32,False,AR
2016-09-25,37,False,AR
2016-10-02,42,False,AR
2016-10-09,19,False,AR
2016-10-16,34,False,AR
2016-10-23,50,False,AR
2016-10-30,31,False,AR
2016-11-06,34,False,AR
2016-11-13,28,False,AR
2016-11-20,34,False,AR
2016-11-27,50,False,AR
2016-12-04,40,False,AR
2016-12-11,26,False,AR
2016-12-18,15,False,AR
2016-12-25,33,False,AR
2017-01-01,33,False,AR
2017-01-08,39,False,AR
2017-01-15,35,False,AR
2017-01-22,27,False,AR
2017-01-29,47,False,AR
2017-02-05,64,False,AR
2017-02-12,32,False,AR
2017-02-19,39,False,AR
2017-02-26,49,False,AR
2017-03-05,45,False,AR
2017-03-12,36,False,AR
2017-03-19,40,False,AR
2017-03-26,67,False,AR
2017-04-02,39,False,AR
2017-04-09,51,False,AR
2017-04-16,60,False,AR
2017-04-23,45,False,AR
2017-04-30,45,False,AR
2017-05-07,44,False,AR
2017-05-14,47,False,AR
2017-05-21,23,False,AR
2017-05-28,36,False,AR
2017-06-04,14,False,AR
2017-06-11,23,False,AR
2017-06-18,30,False,AR
2017-06-25,12,False,AR
2017-07-02,40,False,AR
2017-07-09,38,False,AR
2017-07-16,32,False,AR
2017-07-23,34,False,AR
2017-07-30,28,False,AR
2017-08-06,16,False,AR
2017-08-13,38,False,AR
2017-08-20,38,False,AR
2017-08-27,48,False,AR
2017-09-03,44,False,AR
2017-09-10,33,False,AR
2017-09-17,42,False,AR
2017-09-24,43,False,AR
2017-10-01,35,False,AR
2017-10-08,33,False,AR
2017-10-15,46,False,AR
2017-10-22,40,False,AR
2017-10-29,37,False,AR
2017-11-05,57,False,AR
2017-11-12,46,False,AR
2017-11-19,13,False,AR
2017-11-26,36,False,AR
2017-12-03,34,False,AR
2017-12-10,21,False,AR
2017-12-17,27,False,AR
2017-12-24,29,False,AR
2017-12-31,31,False,AR
2018-01-07,34,False,AR
2018-01-14,36,False,AR
2018-01-21,50,False,AR
2018-01-28,42,False,AR
2018-02-04,41,False,AR
2018-02-11,44,False,AR
2018-02-18,36,False,AR
2018-02-25,48,False,AR
2018-03-04,69,False,AR
2018-03-11,36,False,AR
2018-03-18,18,False,AR
2018-03-25,61,False,AR
2018-04-01,42,False,AR
2018-04-08,18,False,AR
2018-04-15,53,False,AR
2018-04-22,50,False,AR
2018-04-29,40,False,AR
2018-05-06,36,False,AR
2018-05-13,43,False,AR
2018-05-20,40,False,AR
2018-05-27,29,False,AR
2018-06-03,30,False,AR
2018-06-10,32,False,AR
2018-06-17,37,False,AR
2018-06-24,25,False,AR
2018-07-01,34,False,AR
2018-07-08,35,False,AR
2018-07-15,50,False,AR
2018-07-22,23,False,AR
2018-07-29,47,False,AR
2018-08-05,30,False,AR
2018-08-12,52,False,AR
2018-08-19,43,False,AR
2018-08-26,41,False,AR
2018-09-02,35,False,AR
2018-09-09,55,False,AR
2018-09-16,61,False,AR
2018-09-23,39,False,AR
2018-09-30,60,False,AR
2018-10-07,52,False,AR
2018-10-14,28,False,AR
2018-10-21,36,False,AR
2018-10-28,40,False,AR
2018-11-04,20,False,AR
2018-11-11,30,False,AR
2018-11-18,10,False,AR
2018-11-25,39,False,AR
2018-12-02,49,False,AR
2018-12-09,27,False,AR
2018-12-16,19,False,AR
2018-12-23,19,False,AR
2018-12-30,32,False,AR
2015-01-04,100,False,CA
2015-01-11,95,False,CA
2015-01-18,92,False,CA
2015-01-25,89,False,CA
2015-02-01,87,False,CA
2015-02-08,89,False,CA
2015-02-15,83,False,CA
2015-02-22,82,False,CA
2015-03-01,86,False,CA
2015-03-08,91,False,CA
2015-03-15,81,False,CA
2015-03-22,96,False,CA
2015-03-29,87,False,CA
2015-04-05,90,False,CA
2015-04-12,80,False,CA
2015-04-19,95,False,CA
2015-04-26,82,False,CA
2015-05-03,84,False,CA
2015-05-10,97,False,CA
2015-05-17,89,False,CA
2015-05-24,88,False,CA
2015-05-31,100,False,CA
2015-06-07,82,False,CA
2015-06-14,87,False,CA
2015-06-21,92,False,CA
2015-06-28,72,False,CA
2015-07-05,83,False,CA
2015-07-12,88,False,CA
2015-07-19,84,False,CA
2015-07-26,80,False,CA
2015-08-02,84,False,CA
2015-08-09,85,False,CA
2015-08-16,83,False,CA
2015-08-23,81,False,CA
2015-08-30,87,False,CA
2015-09-06,80,False,CA
2015-09-13,78,False,CA
2015-09-20,83,False,CA
2015-09-27,78,False,CA
2015-10-04,84,False,CA
2015-10-11,88,False,CA
2015-10-18,85,False,CA
2015-10-25,72,False,CA
2015-11-01,78,False,CA
2015-11-08,70,False,CA
2015-11-15,76,False,CA
2015-11-22,53,False,CA
2015-11-29,71,False,CA
2015-12-06,70,False,CA
2015-12-13,66,False,CA
2015-12-20,48,False,CA
2015-12-27,45,False,CA
2016-01-03,90,False,CA
2016-01-10,85,False,CA
2016-01-17,85,False,CA
2016-01-24,88,False,CA
2016-01-31,83,False,CA
2016-02-07,73,False,CA
2016-02-14,75,False,CA
2016-02-21,86,False,CA
2016-02-28,74,False,CA
2016-03-06,78,False,CA
2016-03-13,81,False,CA
2016-03-20,75,False,CA
2016-03-27,76,False,CA
2016-04-03,77,False,CA
2016-04-10,80,False,CA
2016-04-17,77,False,CA
2016-04-24,77,False,CA
2016-05-01,75,False,CA
2016-05-08,87,False,CA
2016-05-15,81,False,CA
2016-05-22,80,False,CA
2016-05-29,78,False,CA
2016-06-05,66,False,CA
2016-06-12,76,False,CA
2016-06-19,74,False,CA
2016-06-26,73,False,CA
