date,harvard,isPartial,State
2014-03-01,57,False,CT
2014-04-01,53,False,CT
2014-05-01,48,False,CT
2014-06-01,50,False,CT
2014-07-01,45,False,CT
2014-08-01,56,False,CT
2014-09-01,65,False,CT
2014-10-01,78,False,CT
2014-11-01,100,False,CT
2014-12-01,60,False,CT
2015-01-01,61,False,CT
2015-02-01,60,False,CT
2015-03-01,62,False,CT
2015-04-01,63,False,CT
2015-05-01,56,False,CT
2015-06-01,57,False,CT
2015-07-01,43,False,CT
2015-08-01,49,False,CT
2015-09-01,58,False,CT
2015-10-01,61,False,CT
2015-11-01,90,False,CT
2015-12-01,62,False,CT
2016-01-01,57,False,CT
2016-02-01,59,False,CT
2016-03-01,53,False,CT
2016-04-01,48,False,CT
2016-05-01,57,False,CT
2016-06-01,41,False,CT
2016-07-01,44,False,CT
2016-08-01,39,False,CT
2016-09-01,61,False,CT
2016-10-01,65,False,CT
2016-11-01,63,False,CT
2016-12-01,47,False,CT
2017-01-01,53,False,CT
2017-02-01,58,False,CT
2017-03-01,55,False,CT
2017-04-01,49,False,CT
2017-05-01,54,False,CT
2017-06-01,46,False,CT
2017-07-01,45,False,CT
2017-08-01,48,False,CT
2017-09-01,49,False,CT
2017-10-01,57,False,CT
2017-11-01,85,False,CT
2017-12-01,53,False,CT
2018-01-01,51,False,CT
2018-02-01,46,False,CT
2018-03-01,53,False,CT
2018-04-01,54,False,CT
2018-05-01,49,False,CT
2018-06-01,42,False,CT
2018-07-01,45,False,CT
2018-08-01,44,False,CT
2018-09-01,45,False,CT
2018-10-01,61,False,CT
2018-11-01,56,False,CT
2018-12-01,47,False,CT
2019-01-01,40,False,CT
2011-01-01,71,False,DC
2011-02-01,69,False,DC
2011-03-01,59,False,DC
2011-04-01,53,False,DC
2011-05-01,52,False,DC
2011-06-01,59,False,DC
2011-07-01,50,False,DC
2011-08-01,57,False,DC
2011-09-01,60,False,DC
2011-10-01,50,False,DC
2011-11-01,53,False,DC
2011-12-01,55,False,DC
2012-01-01,36,False,DC
2012-02-01,61,False,DC
2012-03-01,75,False,DC
2012-04-01,66,False,DC
2012-05-01,46,False,DC
2012-06-01,41,False,DC
2012-07-01,38,False,DC
2012-08-01,47,False,DC
2012-09-01,50,False,DC
2012-10-01,60,False,DC
2012-11-01,61,False,DC
2012-12-01,61,False,DC
2013-01-01,60,False,DC
2013-02-01,50,False,DC
2013-03-01,56,False,DC
2013-04-01,45,False,DC
2013-05-01,44,False,DC
2013-06-01,42,False,DC
2013-07-01,65,False,DC
2013-08-01,57,False,DC
2013-09-01,65,False,DC
2013-10-01,58,False,DC
2013-11-01,74,False,DC
2013-12-01,63,False,DC
2014-01-01,67,False,DC
2014-02-01,59,False,DC
2014-03-01,63,False,DC
2014-04-01,40,False,DC
2014-05-01,73,False,DC
2014-06-01,82,False,DC
2014-07-01,59,False,DC
2014-08-01,59,False,DC
2014-09-01,71,False,DC
2014-10-01,52,False,DC
2014-11-01,56,False,DC
2014-12-01,46,False,DC
2015-01-01,54,False,DC
2015-02-01,52,False,DC
2015-03-01,55,False,DC
2015-04-01,50,False,DC
2015-05-01,46,False,DC
2015-06-01,52,False,DC
2015-07-01,39,False,DC
2015-08-01,37,False,DC
2015-09-01,31,False,DC
2015-10-01,34,False,DC
2015-11-01,37,False,DC
2015-12-01,34,False,DC
2016-01-01,42,False,DC
2016-02-01,39,False,DC
2016-03-01,44,False,DC
2016-04-01,46,False,DC
2016-05-01,50,False,DC
2016-06-01,44,False,DC
2016-07-01,41,False,DC
2016-08-01,36,False,DC
2016-09-01,40,False,DC
2016-10-01,40,False,DC
2016-11-01,44,False,DC
2016-12-01,34,False,DC
2017-01-01,42,False,DC
2017-02-01,44,False,DC
2017-03-01,53,False,DC
2017-04-01,48,False,DC
2017-05-01,41,False,DC
2017-06-01,51,False,DC
2017-07-01,41,False,DC
2017-08-01,41,False,DC
2017-09-01,47,False,DC
2017-10-01,40,False,DC
2017-11-01,55,False,DC
2017-12-01,83,False,DC
2018-01-01,61,False,DC
2018-02-01,76,False,DC
2018-03-01,73,False,DC
2018-04-01,82,False,DC
2018-05-01,100,False,DC
2018-06-01,70,False,DC
2018-07-01,72,False,DC
2018-08-01,77,False,DC
2018-09-01,69,False,DC
2018-10-01,97,False,DC
2018-11-01,80,False,DC
2018-12-01,72,False,DC
2019-01-01,72,False,DC
2011-01-01,65,False,DE
