date,participants,policy,isPartial,State
2013-09-01,1,66,False,CT
2013-10-01,1,85,False,CT
2013-11-01,1,74,False,CT
2013-12-01,1,86,False,CT
2014-01-01,1,80,False,CT
2014-02-01,3,71,False,CT
2014-03-01,4,69,False,CT
2014-04-01,3,99,False,CT
2014-05-01,1,68,False,CT
2014-06-01,2,72,False,CT
2014-07-01,1,79,False,CT
2014-08-01,3,75,False,CT
2014-09-01,2,87,False,CT
2014-10-01,1,99,False,CT
2014-11-01,3,100,False,CT
2014-12-01,2,95,False,CT
2015-01-01,2,88,False,CT
2015-02-01,4,82,False,CT
2015-03-01,3,91,False,CT
2015-04-01,3,99,False,CT
2015-05-01,3,68,False,CT
2015-06-01,2,72,False,CT
2015-07-01,4,63,False,CT
2015-08-01,2,98,False,CT
2015-09-01,5,93,False,CT
2015-10-01,3,86,False,CT
2015-11-01,3,100,False,CT
2015-12-01,1,98,False,CT
2016-01-01,1,78,False,CT
2016-02-01,4,75,False,CT
2016-03-01,2,91,False,CT
2016-04-01,1,95,False,CT
2016-05-01,1,83,False,CT
2016-06-01,1,65,False,CT
2016-07-01,2,68,False,CT
2016-08-01,3,74,False,CT
2016-09-01,2,72,False,CT
2016-10-01,2,80,False,CT
2016-11-01,1,83,False,CT
2016-12-01,2,78,False,CT
2017-01-01,3,90,False,CT
2017-02-01,4,93,False,CT
2017-03-01,1,79,False,CT
2017-04-01,3,92,False,CT
2017-05-01,2,78,False,CT
2017-06-01,2,75,False,CT
2017-07-01,2,67,False,CT
2017-08-01,1,80,False,CT
2017-09-01,0,78,False,CT
2017-10-01,1,86,False,CT
2017-11-01,2,85,False,CT
2017-12-01,1,93,False,CT
2018-01-01,2,84,False,CT
2018-02-01,3,80,False,CT
2018-03-01,2,82,False,CT
2018-04-01,2,87,False,CT
2018-05-01,2,88,False,CT
2018-06-01,2,78,False,CT
2018-07-01,4,77,False,CT
2018-08-01,0,79,False,CT
2018-09-01,3,83,False,CT
2018-10-01,2,81,False,CT
2018-11-01,2,77,False,CT
2018-12-01,2,81,False,CT
2019-01-01,4,87,False,CT
2011-01-01,1,58,False,DC
2011-02-01,1,59,False,DC
2011-03-01,1,70,False,DC
2011-04-01,1,68,False,DC
2011-05-01,1,57,False,DC
2011-06-01,0,46,False,DC
2011-07-01,1,47,False,DC
2011-08-01,0,47,False,DC
2011-09-01,1,54,False,DC
2011-10-01,0,47,False,DC
2011-11-01,0,52,False,DC
2011-12-01,0,43,False,DC
2012-01-01,1,41,False,DC
2012-02-01,1,51,False,DC
2012-03-01,0,48,False,DC
2012-04-01,1,37,False,DC
2012-05-01,0,38,False,DC
2012-06-01,1,38,False,DC
2012-07-01,2,39,False,DC
2012-08-01,0,39,False,DC
2012-09-01,1,40,False,DC
2012-10-01,1,36,False,DC
2012-11-01,2,55,False,DC
2012-12-01,0,61,False,DC
2013-01-01,1,63,False,DC
2013-02-01,1,60,False,DC
2013-03-01,1,48,False,DC
2013-04-01,1,51,False,DC
2013-05-01,0,45,False,DC
2013-06-01,1,51,False,DC
2013-07-01,2,77,False,DC
2013-08-01,2,69,False,DC
2013-09-01,3,72,False,DC
2013-10-01,2,79,False,DC
2013-11-01,1,78,False,DC
2013-12-01,1,60,False,DC
2014-01-01,0,66,False,DC
2014-02-01,1,62,False,DC
2014-03-01,1,64,False,DC
2014-04-01,1,54,False,DC
2014-05-01,2,71,False,DC
2014-06-01,1,72,False,DC
2014-07-01,2,69,False,DC
2014-08-01,0,45,False,DC
2014-09-01,1,51,False,DC
2014-10-01,1,40,False,DC
2014-11-01,0,38,False,DC
2014-12-01,0,38,False,DC
2015-01-01,1,40,False,DC
2015-02-01,1,43,False,DC
2015-03-01,1,46,False,DC
2015-04-01,0,46,False,DC
2015-05-01,1,37,False,DC
2015-06-01,0,44,False,DC
2015-07-01,1,42,False,DC
2015-08-01,1,37,False,DC
2015-09-01,1,39,False,DC
2015-10-01,1,35,False,DC
2015-11-01,1,42,False,DC
2015-12-01,0,37,False,DC
2016-01-01,1,39,False,DC
2016-02-01,2,46,False,DC
2016-03-01,1,50,False,DC
2016-04-01,1,55,False,DC
2016-05-01,1,43,False,DC
2016-06-01,1,51,False,DC
2016-07-01,1,39,False,DC
2016-08-01,1,41,False,DC
2016-09-01,1,52,False,DC
2016-10-01,1,40,False,DC
2016-11-01,1,46,False,DC
2016-12-01,1,46,False,DC
2017-01-01,1,51,False,DC
2017-02-01,0,50,False,DC
2017-03-01,1,48,False,DC
2017-04-01,0,49,False,DC
2017-05-01,1,41,False,DC
2017-06-01,0,44,False,DC
2017-07-01,1,43,False,DC
2017-08-01,0,37,False,DC
2017-09-01,1,46,False,DC
2017-10-01,1,47,False,DC
2017-11-01,1,67,False,DC
2017-12-01,1,77,False,DC
2018-01-01,1,88,False,DC
2018-02-01,2,93,False,DC
2018-03-01,1,83,False,DC
2018-04-01,1,81,False,DC
2018-05-01,2,75,False,DC
2018-06-01,3,100,False,DC
2018-07-01,2,82,False,DC
2018-08-01,0,99,False,DC
2018-09-01,1,79,False,DC
2018-10-01,1,85,False,DC
2018-11-01,1,83,False,DC
2018-12-01,0,77,False,DC
2019-01-01,2,84,False,DC
2011-01-01,0,66,False,DE
2011-02-01,0,44,False,DE
2011-03-01,0,74,False,DE
2011-04-01,0,67,False,DE
2011-05-01,0,58,False,DE
2011-06-01,0,57,False,DE
2011-07-01,0,68,False,DE
2011-08-01,0,29,False,DE
2011-09-01,0,47,False,DE
2011-10-01,0,41,False,DE
2011-11-01,7,56,False,DE
2011-12-01,0,51,False,DE
2012-01-01,0,57,False,DE
2012-02-01,7,62,False,DE
2012-03-01,3,50,False,DE
2012-04-01,0,75,False,DE
2012-05-01,6,54,False,DE
2012-06-01,3,55,False,DE
2012-07-01,0,69,False,DE
2012-08-01,0,49,False,DE
2012-09-01,3,43,False,DE
2012-10-01,5,80,False,DE
2012-11-01,6,49,False,DE
2012-12-01,0,76,False,DE
2013-01-01,0,72,False,DE
2013-02-01,3,61,False,DE
2013-03-01,2,94,False,DE
2013-04-01,0,62,False,DE
2013-05-01,2,50,False,DE
2013-06-01,0,71,False,DE
2013-07-01,0,39,False,DE
2013-08-01,0,59,False,DE
2013-09-01,6,68,False,DE
2013-10-01,3,69,False,DE
2013-11-01,0,64,False,DE
2013-12-01,0,71,False,DE
2014-01-01,2,64,False,DE
2014-02-01,8,84,False,DE
2014-03-01,4,60,False,DE
2014-04-01,10,82,False,DE
2014-05-01,0,60,False,DE
2014-06-01,3,67,False,DE
2014-07-01,3,53,False,DE
2014-08-01,0,95,False,DE
2014-09-01,0,84,False,DE
2014-10-01,0,72,False,DE
2014-11-01,3,72,False,DE
2014-12-01,0,76,False,DE
2015-01-01,0,69,False,DE
2015-02-01,6,89,False,DE
2015-03-01,0,64,False,DE
2015-04-01,0,77,False,DE
2015-05-01,0,90,False,DE
2015-06-01,0,72,False,DE
2015-07-01,3,64,False,DE
2015-08-01,0,78,False,DE
2015-09-01,6,100,False,DE
2015-10-01,3,79,False,DE
2015-11-01,3,79,False,DE
2015-12-01,3,68,False,DE
