date,online masters,isPartial,State
2016-05-22,45,False,CA
2016-05-29,25,False,CA
2016-06-05,42,False,CA
2016-06-12,52,False,CA
2016-06-19,40,False,CA
2016-06-26,31,False,CA
2016-07-03,16,False,CA
2016-07-10,27,False,CA
2016-07-17,48,False,CA
2016-07-24,21,False,CA
2016-07-31,40,False,CA
2016-08-07,44,False,CA
2016-08-14,28,False,CA
2016-08-21,35,False,CA
2016-08-28,30,False,CA
2016-09-04,38,False,CA
2016-09-11,55,False,CA
2016-09-18,55,False,CA
2016-09-25,57,False,CA
2016-10-02,41,False,CA
2016-10-09,19,False,CA
2016-10-16,17,False,CA
2016-10-23,40,False,CA
2016-10-30,34,False,CA
2016-11-06,20,False,CA
2016-11-13,29,False,CA
2016-11-20,20,False,CA
2016-11-27,23,False,CA
2016-12-04,40,False,CA
2016-12-11,42,False,CA
2016-12-18,18,False,CA
2016-12-25,23,False,CA
2017-01-01,50,False,CA
2017-01-08,41,False,CA
2017-01-15,30,False,CA
2017-01-22,45,False,CA
2017-01-29,47,False,CA
2017-02-05,37,False,CA
2017-02-12,52,False,CA
2017-02-19,31,False,CA
2017-02-26,30,False,CA
2017-03-05,50,False,CA
2017-03-12,44,False,CA
2017-03-19,33,False,CA
2017-03-26,44,False,CA
2017-04-02,65,False,CA
2017-04-09,39,False,CA
2017-04-16,52,False,CA
2017-04-23,40,False,CA
2017-04-30,56,False,CA
2017-05-07,58,False,CA
2017-05-14,50,False,CA
2017-05-21,53,False,CA
2017-05-28,47,False,CA
2017-06-04,60,False,CA
2017-06-11,42,False,CA
2017-06-18,43,False,CA
2017-06-25,52,False,CA
2017-07-02,39,False,CA
2017-07-09,34,False,CA
2017-07-16,27,False,CA
2017-07-23,44,False,CA
2017-07-30,41,False,CA
2017-08-06,33,False,CA
2017-08-13,57,False,CA
2017-08-20,56,False,CA
2017-08-27,46,False,CA
2017-09-03,65,False,CA
2017-09-10,66,False,CA
2017-09-17,50,False,CA
2017-09-24,60,False,CA
2017-10-01,70,False,CA
