date,porn,isPartial,State
2018-09-23,48,False,AZ
2018-09-30,51,False,AZ
2018-10-07,50,False,AZ
2018-10-14,50,False,AZ
2018-10-21,50,False,AZ
2018-10-28,51,False,AZ
2018-11-04,50,False,AZ
2018-11-11,49,False,AZ
2018-11-18,49,False,AZ
2018-11-25,47,False,AZ
2018-12-02,50,False,AZ
2018-12-09,47,False,AZ
2018-12-16,51,False,AZ
2018-12-23,57,False,AZ
2018-12-30,53,False,AZ
2015-01-04,79,False,AR
2015-01-11,74,False,AR
2015-01-18,86,False,AR
2015-01-25,80,False,AR
2015-02-01,90,False,AR
2015-02-08,69,False,AR
2015-02-15,92,False,AR
2015-02-22,87,False,AR
2015-03-01,78,False,AR
2015-03-08,77,False,AR
2015-03-15,80,False,AR
2015-03-22,88,False,AR
2015-03-29,80,False,AR
2015-04-05,79,False,AR
2015-04-12,81,False,AR
2015-04-19,80,False,AR
2015-04-26,78,False,AR
2015-05-03,74,False,AR
2015-05-10,90,False,AR
2015-05-17,77,False,AR
2015-05-24,95,False,AR
2015-05-31,92,False,AR
2015-06-07,91,False,AR
2015-06-14,92,False,AR
2015-06-21,89,False,AR
2015-06-28,93,False,AR
2015-07-05,90,False,AR
2015-07-12,93,False,AR
2015-07-19,90,False,AR
2015-07-26,82,False,AR
2015-08-02,82,False,AR
2015-08-09,82,False,AR
2015-08-16,78,False,AR
2015-08-23,68,False,AR
2015-08-30,65,False,AR
2015-09-06,68,False,AR
2015-09-13,67,False,AR
2015-09-20,72,False,AR
2015-09-27,68,False,AR
2015-10-04,77,False,AR
2015-10-11,73,False,AR
2015-10-18,82,False,AR
2015-10-25,78,False,AR
2015-11-01,74,False,AR
2015-11-08,80,False,AR
2015-11-15,79,False,AR
2015-11-22,92,False,AR
2015-11-29,79,False,AR
2015-12-06,79,False,AR
2015-12-13,84,False,AR
2015-12-20,95,False,AR
2015-12-27,93,False,AR
2016-01-03,76,False,AR
2016-01-10,74,False,AR
2016-01-17,79,False,AR
2016-01-24,78,False,AR
2016-01-31,75,False,AR
2016-02-07,75,False,AR
2016-02-14,75,False,AR
2016-02-21,79,False,AR
2016-02-28,77,False,AR
2016-03-06,84,False,AR
2016-03-13,76,False,AR
2016-03-20,100,False,AR
2016-03-27,74,False,AR
2016-04-03,86,False,AR
2016-04-10,77,False,AR
2016-04-17,71,False,AR
2016-04-24,76,False,AR
2016-05-01,74,False,AR
2016-05-08,85,False,AR
2016-05-15,81,False,AR
2016-05-22,85,False,AR
2016-05-29,82,False,AR
2016-06-05,85,False,AR
2016-06-12,82,False,AR
2016-06-19,80,False,AR
2016-06-26,75,False,AR
2016-07-03,85,False,AR
2016-07-10,86,False,AR
2016-07-17,84,False,AR
2016-07-24,74,False,AR
2016-07-31,84,False,AR
2016-08-07,83,False,AR
2016-08-14,75,False,AR
2016-08-21,71,False,AR
2016-08-28,69,False,AR
2016-09-04,73,False,AR
2016-09-11,69,False,AR
2016-09-18,66,False,AR
2016-09-25,71,False,AR
2016-10-02,67,False,AR
2016-10-09,75,False,AR
2016-10-16,64,False,AR
2016-10-23,64,False,AR
2016-10-30,72,False,AR
2016-11-06,61,False,AR
2016-11-13,72,False,AR
2016-11-20,75,False,AR
2016-11-27,64,False,AR
2016-12-04,67,False,AR
2016-12-11,64,False,AR
2016-12-18,74,False,AR
2016-12-25,77,False,AR
2017-01-01,65,False,AR
2017-01-08,61,False,AR
2017-01-15,69,False,AR
2017-01-22,62,False,AR
2017-01-29,60,False,AR
2017-02-05,56,False,AR
2017-02-12,65,False,AR
2017-02-19,67,False,AR
2017-02-26,58,False,AR
2017-03-05,61,False,AR
2017-03-12,61,False,AR
2017-03-19,69,False,AR
2017-03-26,61,False,AR
2017-04-02,66,False,AR
2017-04-09,67,False,AR
2017-04-16,71,False,AR
2017-04-23,61,False,AR
2017-04-30,67,False,AR
2017-05-07,65,False,AR
2017-05-14,69,False,AR
2017-05-21,70,False,AR
2017-05-28,72,False,AR
2017-06-04,68,False,AR
2017-06-11,69,False,AR
2017-06-18,72,False,AR
2017-06-25,74,False,AR
2017-07-02,80,False,AR
2017-07-09,74,False,AR
2017-07-16,83,False,AR
2017-07-23,71,False,AR
2017-07-30,69,False,AR
2017-08-06,73,False,AR
2017-08-13,70,False,AR
2017-08-20,63,False,AR
2017-08-27,66,False,AR
2017-09-03,64,False,AR
2017-09-10,60,False,AR
2017-09-17,66,False,AR
2017-09-24,63,False,AR
2017-10-01,62,False,AR
2017-10-08,61,False,AR
2017-10-15,61,False,AR
2017-10-22,62,False,AR
2017-10-29,58,False,AR
2017-11-05,58,False,AR
2017-11-12,57,False,AR
2017-11-19,57,False,AR
2017-11-26,59,False,AR
2017-12-03,55,False,AR
2017-12-10,53,False,AR
2017-12-17,57,False,AR
2017-12-24,64,False,AR
2017-12-31,55,False,AR
2018-01-07,53,False,AR
2018-01-14,53,False,AR
2018-01-21,56,False,AR
2018-01-28,49,False,AR
2018-02-04,49,False,AR
2018-02-11,49,False,AR
2018-02-18,46,False,AR
2018-02-25,55,False,AR
2018-03-04,54,False,AR
2018-03-11,53,False,AR
2018-03-18,54,False,AR
2018-03-25,53,False,AR
2018-04-01,45,False,AR
2018-04-08,52,False,AR
2018-04-15,51,False,AR
2018-04-22,50,False,AR
2018-04-29,50,False,AR
2018-05-06,55,False,AR
2018-05-13,56,False,AR
2018-05-20,56,False,AR
2018-05-27,60,False,AR
2018-06-03,55,False,AR
2018-06-10,57,False,AR
2018-06-17,55,False,AR
2018-06-24,57,False,AR
2018-07-01,57,False,AR
2018-07-08,55,False,AR
2018-07-15,54,False,AR
2018-07-22,54,False,AR
2018-07-29,57,False,AR
2018-08-05,57,False,AR
2018-08-12,55,False,AR
2018-08-19,51,False,AR
2018-08-26,45,False,AR
2018-09-02,50,False,AR
2018-09-09,49,False,AR
2018-09-16,52,False,AR
2018-09-23,50,False,AR
2018-09-30,46,False,AR
2018-10-07,50,False,AR
2018-10-14,50,False,AR
2018-10-21,49,False,AR
2018-10-28,47,False,AR
2018-11-04,49,False,AR
2018-11-11,49,False,AR
2018-11-18,55,False,AR
2018-11-25,46,False,AR
2018-12-02,51,False,AR
2018-12-09,48,False,AR
2018-12-16,62,False,AR
2018-12-23,60,False,AR
2018-12-30,57,False,AR
2015-01-04,100,False,CA
2015-01-11,92,False,CA
2015-01-18,94,False,CA
2015-01-25,96,False,CA
2015-02-01,90,False,CA
2015-02-08,90,False,CA
2015-02-15,88,False,CA
2015-02-22,89,False,CA
2015-03-01,87,False,CA
2015-03-08,88,False,CA
2015-03-15,91,False,CA
2015-03-22,88,False,CA
2015-03-29,90,False,CA
2015-04-05,91,False,CA
2015-04-12,89,False,CA
2015-04-19,87,False,CA
2015-04-26,87,False,CA
2015-05-03,88,False,CA
2015-05-10,87,False,CA
2015-05-17,87,False,CA
2015-05-24,91,False,CA
2015-05-31,84,False,CA
2015-06-07,91,False,CA
2015-06-14,90,False,CA
2015-06-21,90,False,CA
2015-06-28,93,False,CA
2015-07-05,91,False,CA
2015-07-12,89,False,CA
2015-07-19,92,False,CA
2015-07-26,90,False,CA
2015-08-02,92,False,CA
2015-08-09,87,False,CA
2015-08-16,88,False,CA
2015-08-23,84,False,CA
2015-08-30,82,False,CA
2015-09-06,84,False,CA
2015-09-13,79,False,CA
2015-09-20,80,False,CA
2015-09-27,79,False,CA
2015-10-04,79,False,CA
2015-10-11,79,False,CA
2015-10-18,76,False,CA
2015-10-25,75,False,CA
2015-11-01,79,False,CA
2015-11-08,78,False,CA
2015-11-15,76,False,CA
2015-11-22,85,False,CA
2015-11-29,78,False,CA
2015-12-06,79,False,CA
2015-12-13,77,False,CA
2015-12-20,86,False,CA
2015-12-27,86,False,CA
2016-01-03,77,False,CA
2016-01-10,73,False,CA
2016-01-17,76,False,CA
2016-01-24,77,False,CA
2016-01-31,73,False,CA
2016-02-07,75,False,CA
2016-02-14,75,False,CA
2016-02-21,71,False,CA
2016-02-28,72,False,CA
2016-03-06,73,False,CA
2016-03-13,70,False,CA
2016-03-20,75,False,CA
2016-03-27,75,False,CA
2016-04-03,72,False,CA
2016-04-10,73,False,CA
2016-04-17,74,False,CA
2016-04-24,71,False,CA
2016-05-01,74,False,CA
2016-05-08,73,False,CA
2016-05-15,73,False,CA
2016-05-22,74,False,CA
