date,coursera,isPartial,State
2018-06-03,52,False,AZ
2018-06-10,10,False,AZ
2018-06-17,0,False,AZ
2018-06-24,0,False,AZ
2018-07-01,0,False,AZ
2018-07-08,20,False,AZ
2018-07-15,32,False,AZ
2018-07-22,0,False,AZ
2018-07-29,10,False,AZ
2018-08-05,30,False,AZ
2018-08-12,0,False,AZ
2018-08-19,0,False,AZ
2018-08-26,39,False,AZ
2018-09-02,20,False,AZ
2018-09-09,20,False,AZ
2018-09-16,0,False,AZ
2018-09-23,20,False,AZ
2018-09-30,10,False,AZ
2018-10-07,21,False,AZ
2018-10-14,10,False,AZ
2018-10-21,0,False,AZ
2018-10-28,41,False,AZ
2018-11-04,19,False,AZ
2018-11-11,10,False,AZ
2018-11-18,20,False,AZ
2018-11-25,10,False,AZ
2018-12-02,20,False,AZ
2018-12-09,10,False,AZ
2018-12-16,10,False,AZ
2018-12-23,22,False,AZ
2018-12-30,0,False,AZ
2015-01-04,0,False,AR
2015-01-11,0,False,AR
2015-01-18,0,False,AR
2015-01-25,0,False,AR
2015-02-01,0,False,AR
2015-02-08,0,False,AR
2015-02-15,0,False,AR
2015-02-22,31,False,AR
2015-03-01,0,False,AR
2015-03-08,0,False,AR
2015-03-15,0,False,AR
2015-03-22,0,False,AR
2015-03-29,34,False,AR
2015-04-05,0,False,AR
2015-04-12,0,False,AR
2015-04-19,33,False,AR
2015-04-26,67,False,AR
2015-05-03,0,False,AR
2015-05-10,0,False,AR
2015-05-17,0,False,AR
2015-05-24,0,False,AR
2015-05-31,0,False,AR
2015-06-07,0,False,AR
2015-06-14,0,False,AR
2015-06-21,0,False,AR
2015-06-28,0,False,AR
2015-07-05,0,False,AR
2015-07-12,37,False,AR
2015-07-19,0,False,AR
2015-07-26,0,False,AR
2015-08-02,38,False,AR
2015-08-09,38,False,AR
2015-08-16,36,False,AR
2015-08-23,33,False,AR
2015-08-30,32,False,AR
2015-09-06,100,False,AR
2015-09-13,0,False,AR
2015-09-20,0,False,AR
2015-09-27,0,False,AR
2015-10-04,62,False,AR
2015-10-11,0,False,AR
2015-10-18,0,False,AR
2015-10-25,0,False,AR
2015-11-01,0,False,AR
2015-11-08,0,False,AR
2015-11-15,0,False,AR
2015-11-22,0,False,AR
2015-11-29,0,False,AR
2015-12-06,0,False,AR
2015-12-13,49,False,AR
2015-12-20,0,False,AR
2015-12-27,0,False,AR
2016-01-03,0,False,AR
2016-01-10,0,False,AR
2016-01-17,0,False,AR
2016-01-24,21,False,AR
2016-01-31,20,False,AR
2016-02-07,0,False,AR
2016-02-14,20,False,AR
2016-02-21,0,False,AR
2016-02-28,19,False,AR
2016-03-06,37,False,AR
2016-03-13,0,False,AR
2016-03-20,0,False,AR
2016-03-27,21,False,AR
2016-04-03,22,False,AR
2016-04-10,0,False,AR
2016-04-17,0,False,AR
2016-04-24,0,False,AR
2016-05-01,0,False,AR
2016-05-08,0,False,AR
2016-05-15,0,False,AR
2016-05-22,21,False,AR
2016-05-29,0,False,AR
2016-06-05,22,False,AR
2016-06-12,0,False,AR
2016-06-19,0,False,AR
2016-06-26,0,False,AR
2016-07-03,46,False,AR
2016-07-10,22,False,AR
2016-07-17,0,False,AR
2016-07-24,0,False,AR
2016-07-31,23,False,AR
2016-08-07,0,False,AR
2016-08-14,0,False,AR
2016-08-21,42,False,AR
2016-08-28,0,False,AR
2016-09-04,20,False,AR
2016-09-11,0,False,AR
2016-09-18,0,False,AR
2016-09-25,0,False,AR
2016-10-02,0,False,AR
2016-10-09,0,False,AR
2016-10-16,0,False,AR
2016-10-23,0,False,AR
2016-10-30,0,False,AR
2016-11-06,0,False,AR
2016-11-13,0,False,AR
2016-11-20,0,False,AR
2016-11-27,55,False,AR
2016-12-04,0,False,AR
2016-12-11,0,False,AR
2016-12-18,0,False,AR
2016-12-25,22,False,AR
2017-01-01,20,False,AR
2017-01-08,0,False,AR
2017-01-15,37,False,AR
2017-01-22,18,False,AR
2017-01-29,0,False,AR
2017-02-05,0,False,AR
2017-02-12,18,False,AR
2017-02-19,0,False,AR
2017-02-26,0,False,AR
2017-03-05,0,False,AR
2017-03-12,35,False,AR
2017-03-19,0,False,AR
2017-03-26,0,False,AR
2017-04-02,0,False,AR
2017-04-09,0,False,AR
2017-04-16,0,False,AR
2017-04-23,0,False,AR
2017-04-30,19,False,AR
2017-05-07,38,False,AR
2017-05-14,0,False,AR
2017-05-21,0,False,AR
2017-05-28,0,False,AR
2017-06-04,0,False,AR
2017-06-11,0,False,AR
2017-06-18,0,False,AR
2017-06-25,0,False,AR
2017-07-02,0,False,AR
2017-07-09,0,False,AR
2017-07-16,0,False,AR
2017-07-23,0,False,AR
2017-07-30,0,False,AR
2017-08-06,20,False,AR
2017-08-13,0,False,AR
2017-08-20,0,False,AR
2017-08-27,0,False,AR
2017-09-03,19,False,AR
2017-09-10,0,False,AR
2017-09-17,0,False,AR
2017-09-24,37,False,AR
2017-10-01,0,False,AR
2017-10-08,0,False,AR
2017-10-15,19,False,AR
2017-10-22,0,False,AR
2017-10-29,18,False,AR
2017-11-05,0,False,AR
2017-11-12,0,False,AR
2017-11-19,0,False,AR
2017-11-26,34,False,AR
2017-12-03,0,False,AR
2017-12-10,0,False,AR
2017-12-17,0,False,AR
2017-12-24,0,False,AR
2017-12-31,18,False,AR
2018-01-07,0,False,AR
2018-01-14,17,False,AR
2018-01-21,0,False,AR
2018-01-28,0,False,AR
2018-02-04,16,False,AR
2018-02-11,0,False,AR
2018-02-18,0,False,AR
2018-02-25,32,False,AR
2018-03-04,16,False,AR
2018-03-11,16,False,AR
2018-03-18,19,False,AR
2018-03-25,0,False,AR
2018-04-01,0,False,AR
2018-04-08,17,False,AR
2018-04-15,0,False,AR
2018-04-22,17,False,AR
2018-04-29,17,False,AR
2018-05-06,17,False,AR
2018-05-13,0,False,AR
2018-05-20,0,False,AR
2018-05-27,19,False,AR
2018-06-03,0,False,AR
2018-06-10,0,False,AR
2018-06-17,0,False,AR
2018-06-24,0,False,AR
2018-07-01,0,False,AR
2018-07-08,36,False,AR
2018-07-15,0,False,AR
2018-07-22,19,False,AR
2018-07-29,18,False,AR
2018-08-05,0,False,AR
2018-08-12,0,False,AR
2018-08-19,0,False,AR
2018-08-26,0,False,AR
2018-09-02,0,False,AR
2018-09-09,17,False,AR
2018-09-16,0,False,AR
2018-09-23,17,False,AR
2018-09-30,17,False,AR
2018-10-07,0,False,AR
2018-10-14,0,False,AR
2018-10-21,0,False,AR
2018-10-28,0,False,AR
2018-11-04,0,False,AR
2018-11-11,0,False,AR
2018-11-18,0,False,AR
2018-11-25,16,False,AR
2018-12-02,0,False,AR
2018-12-09,0,False,AR
2018-12-16,18,False,AR
2018-12-23,20,False,AR
2018-12-30,0,False,AR
2015-01-04,67,False,CA
2015-01-11,46,False,CA
2015-01-18,51,False,CA
2015-01-25,57,False,CA
2015-02-01,73,False,CA
2015-02-08,69,False,CA
2015-02-15,44,False,CA
2015-02-22,53,False,CA
2015-03-01,54,False,CA
2015-03-08,52,False,CA
2015-03-15,48,False,CA
2015-03-22,57,False,CA
2015-03-29,56,False,CA
2015-04-05,40,False,CA
2015-04-12,41,False,CA
2015-04-19,75,False,CA
2015-04-26,44,False,CA
2015-05-03,100,False,CA
2015-05-10,47,False,CA
2015-05-17,65,False,CA
2015-05-24,72,False,CA
2015-05-31,89,False,CA
2015-06-07,74,False,CA
2015-06-14,85,False,CA
2015-06-21,62,False,CA
2015-06-28,64,False,CA
2015-07-05,52,False,CA
2015-07-12,51,False,CA
2015-07-19,49,False,CA
2015-07-26,56,False,CA
2015-08-02,84,False,CA
2015-08-09,68,False,CA
2015-08-16,65,False,CA
2015-08-23,51,False,CA
2015-08-30,72,False,CA
2015-09-06,72,False,CA
2015-09-13,83,False,CA
2015-09-20,93,False,CA
2015-09-27,71,False,CA
2015-10-04,77,False,CA
2015-10-11,63,False,CA
2015-10-18,49,False,CA
2015-10-25,55,False,CA
2015-11-01,72,False,CA
2015-11-08,65,False,CA
2015-11-15,43,False,CA
2015-11-22,56,False,CA
2015-11-29,49,False,CA
2015-12-06,57,False,CA
2015-12-13,58,False,CA
2015-12-20,56,False,CA
2015-12-27,46,False,CA
2016-01-03,59,False,CA
2016-01-10,41,False,CA
2016-01-17,66,False,CA
2016-01-24,29,False,CA
2016-01-31,61,False,CA
2016-02-07,55,False,CA
2016-02-14,53,False,CA
2016-02-21,63,False,CA
2016-02-28,39,False,CA
2016-03-06,42,False,CA
2016-03-13,57,False,CA
2016-03-20,48,False,CA
2016-03-27,67,False,CA
2016-04-03,41,False,CA
2016-04-10,50,False,CA
2016-04-17,52,False,CA
2016-04-24,43,False,CA
2016-05-01,30,False,CA
2016-05-08,40,False,CA
2016-05-15,57,False,CA
2016-05-22,67,False,CA
2016-05-29,23,False,CA
2016-06-05,35,False,CA
2016-06-12,42,False,CA
2016-06-19,65,False,CA
2016-06-26,61,False,CA
2016-07-03,65,False,CA
2016-07-10,39,False,CA
2016-07-17,49,False,CA
2016-07-24,44,False,CA
2016-07-31,28,False,CA
2016-08-07,37,False,CA
2016-08-14,51,False,CA
2016-08-21,34,False,CA
2016-08-28,32,False,CA
2016-09-04,57,False,CA
2016-09-11,42,False,CA
2016-09-18,55,False,CA
2016-09-25,39,False,CA
2016-10-02,54,False,CA
2016-10-09,55,False,CA
2016-10-16,57,False,CA
2016-10-23,44,False,CA
2016-10-30,51,False,CA
2016-11-06,58,False,CA
2016-11-13,34,False,CA
2016-11-20,33,False,CA
2016-11-27,37,False,CA
2016-12-04,46,False,CA
2016-12-11,41,False,CA
2016-12-18,44,False,CA
2016-12-25,35,False,CA
2017-01-01,45,False,CA
2017-01-08,46,False,CA
2017-01-15,58,False,CA
2017-01-22,48,False,CA
2017-01-29,38,False,CA
2017-02-05,48,False,CA
2017-02-12,40,False,CA
2017-02-19,74,False,CA
2017-02-26,55,False,CA
2017-03-05,57,False,CA
2017-03-12,52,False,CA
2017-03-19,79,False,CA
2017-03-26,47,False,CA
2017-04-02,57,False,CA
2017-04-09,43,False,CA
2017-04-16,59,False,CA
2017-04-23,37,False,CA
2017-04-30,63,False,CA
2017-05-07,35,False,CA
2017-05-14,53,False,CA
2017-05-21,30,False,CA
2017-05-28,38,False,CA
2017-06-04,52,False,CA
2017-06-11,51,False,CA
2017-06-18,32,False,CA
2017-06-25,54,False,CA
2017-07-02,25,False,CA
2017-07-09,46,False,CA
2017-07-16,48,False,CA
2017-07-23,39,False,CA
2017-07-30,46,False,CA
2017-08-06,51,False,CA
2017-08-13,44,False,CA
2017-08-20,57,False,CA
2017-08-27,68,False,CA
2017-09-03,48,False,CA
2017-09-10,50,False,CA
2017-09-17,65,False,CA
2017-09-24,43,False,CA
2017-10-01,56,False,CA
