date,harry potter,isPartial,State
2017-09-10,26,False,AR
2017-09-17,25,False,AR
2017-09-24,25,False,AR
2017-10-01,37,False,AR
2017-10-08,47,False,AR
2017-10-15,40,False,AR
2017-10-22,44,False,AR
2017-10-29,28,False,AR
2017-11-05,41,False,AR
2017-11-12,32,False,AR
2017-11-19,37,False,AR
2017-11-26,32,False,AR
2017-12-03,29,False,AR
2017-12-10,49,False,AR
2017-12-17,29,False,AR
2017-12-24,33,False,AR
2017-12-31,55,False,AR
2018-01-07,37,False,AR
2018-01-14,39,False,AR
2018-01-21,27,False,AR
2018-01-28,32,False,AR
2018-02-04,29,False,AR
2018-02-11,40,False,AR
2018-02-18,33,False,AR
2018-02-25,28,False,AR
2018-03-04,27,False,AR
2018-03-11,30,False,AR
2018-03-18,23,False,AR
2018-03-25,13,False,AR
2018-04-01,44,False,AR
2018-04-08,29,False,AR
2018-04-15,31,False,AR
2018-04-22,34,False,AR
2018-04-29,50,False,AR
2018-05-06,35,False,AR
2018-05-13,27,False,AR
2018-05-20,16,False,AR
2018-05-27,37,False,AR
2018-06-03,24,False,AR
2018-06-10,29,False,AR
2018-06-17,29,False,AR
2018-06-24,28,False,AR
2018-07-01,24,False,AR
2018-07-08,30,False,AR
2018-07-15,39,False,AR
2018-07-22,41,False,AR
2018-07-29,36,False,AR
2018-08-05,33,False,AR
2018-08-12,26,False,AR
2018-08-19,25,False,AR
2018-08-26,34,False,AR
2018-09-02,29,False,AR
2018-09-09,38,False,AR
2018-09-16,36,False,AR
2018-09-23,49,False,AR
2018-09-30,29,False,AR
2018-10-07,38,False,AR
2018-10-14,54,False,AR
2018-10-21,40,False,AR
2018-10-28,46,False,AR
2018-11-04,19,False,AR
2018-11-11,58,False,AR
2018-11-18,75,False,AR
2018-11-25,53,False,AR
2018-12-02,34,False,AR
2018-12-09,39,False,AR
2018-12-16,45,False,AR
2018-12-23,28,False,AR
2018-12-30,31,False,AR
2015-01-04,27,False,CA
2015-01-11,24,False,CA
2015-01-18,21,False,CA
2015-01-25,21,False,CA
2015-02-01,22,False,CA
2015-02-08,22,False,CA
2015-02-15,23,False,CA
2015-02-22,22,False,CA
2015-03-01,22,False,CA
2015-03-08,19,False,CA
2015-03-15,23,False,CA
2015-03-22,24,False,CA
2015-03-29,25,False,CA
2015-04-05,20,False,CA
2015-04-12,20,False,CA
2015-04-19,21,False,CA
2015-04-26,23,False,CA
2015-05-03,18,False,CA
2015-05-10,20,False,CA
2015-05-17,23,False,CA
2015-05-24,24,False,CA
2015-05-31,32,False,CA
2015-06-07,20,False,CA
2015-06-14,24,False,CA
2015-06-21,24,False,CA
2015-06-28,23,False,CA
2015-07-05,22,False,CA
2015-07-12,24,False,CA
2015-07-19,27,False,CA
2015-07-26,37,False,CA
2015-08-02,22,False,CA
2015-08-09,27,False,CA
2015-08-16,26,False,CA
2015-08-23,22,False,CA
2015-08-30,25,False,CA
2015-09-06,25,False,CA
2015-09-13,25,False,CA
2015-09-20,23,False,CA
2015-09-27,25,False,CA
2015-10-04,24,False,CA
2015-10-11,25,False,CA
2015-10-18,33,False,CA
2015-10-25,30,False,CA
2015-11-01,24,False,CA
2015-11-08,26,False,CA
