date,brownie recipe,isPartial,State
2016-10-09,44,False,AR
2016-10-16,0,False,AR
2016-10-23,0,False,AR
2016-10-30,0,False,AR
2016-11-06,21,False,AR
2016-11-13,22,False,AR
2016-11-20,0,False,AR
2016-11-27,60,False,AR
2016-12-04,0,False,AR
2016-12-11,0,False,AR
2016-12-18,24,False,AR
2016-12-25,0,False,AR
2017-01-01,0,False,AR
2017-01-08,41,False,AR
2017-01-15,41,False,AR
2017-01-22,20,False,AR
2017-01-29,20,False,AR
2017-02-05,20,False,AR
2017-02-12,20,False,AR
2017-02-19,0,False,AR
2017-02-26,19,False,AR
2017-03-05,0,False,AR
2017-03-12,38,False,AR
2017-03-19,70,False,AR
2017-03-26,40,False,AR
2017-04-02,0,False,AR
2017-04-09,21,False,AR
2017-04-16,20,False,AR
2017-04-23,40,False,AR
2017-04-30,20,False,AR
2017-05-07,21,False,AR
2017-05-14,0,False,AR
2017-05-21,0,False,AR
2017-05-28,0,False,AR
2017-06-04,47,False,AR
2017-06-11,47,False,AR
2017-06-18,0,False,AR
2017-06-25,0,False,AR
2017-07-02,0,False,AR
2017-07-09,0,False,AR
2017-07-16,0,False,AR
2017-07-23,0,False,AR
2017-07-30,23,False,AR
2017-08-06,0,False,AR
2017-08-13,0,False,AR
2017-08-20,0,False,AR
2017-08-27,0,False,AR
2017-09-03,21,False,AR
2017-09-10,41,False,AR
2017-09-17,20,False,AR
2017-09-24,0,False,AR
2017-10-01,20,False,AR
2017-10-08,0,False,AR
2017-10-15,0,False,AR
2017-10-22,20,False,AR
2017-10-29,39,False,AR
2017-11-05,19,False,AR
2017-11-12,0,False,AR
2017-11-19,0,False,AR
2017-11-26,0,False,AR
2017-12-03,72,False,AR
2017-12-10,19,False,AR
2017-12-17,40,False,AR
2017-12-24,0,False,AR
2017-12-31,20,False,AR
2018-01-07,36,False,AR
2018-01-14,73,False,AR
2018-01-21,0,False,AR
2018-01-28,0,False,AR
2018-02-04,34,False,AR
2018-02-11,35,False,AR
2018-02-18,52,False,AR
2018-02-25,0,False,AR
2018-03-04,18,False,AR
2018-03-11,0,False,AR
2018-03-18,0,False,AR
2018-03-25,54,False,AR
2018-04-01,36,False,AR
2018-04-08,18,False,AR
2018-04-15,36,False,AR
2018-04-22,18,False,AR
2018-04-29,37,False,AR
2018-05-06,38,False,AR
2018-05-13,0,False,AR
2018-05-20,20,False,AR
2018-05-27,41,False,AR
2018-06-03,0,False,AR
2018-06-10,0,False,AR
2018-06-17,40,False,AR
2018-06-24,20,False,AR
2018-07-01,63,False,AR
2018-07-08,0,False,AR
2018-07-15,40,False,AR
2018-07-22,0,False,AR
2018-07-29,40,False,AR
2018-08-05,20,False,AR
2018-08-12,0,False,AR
2018-08-19,19,False,AR
2018-08-26,18,False,AR
2018-09-02,0,False,AR
2018-09-09,0,False,AR
2018-09-16,0,False,AR
2018-09-23,0,False,AR
2018-09-30,0,False,AR
2018-10-07,19,False,AR
2018-10-14,0,False,AR
2018-10-21,19,False,AR
2018-10-28,19,False,AR
2018-11-04,0,False,AR
2018-11-11,18,False,AR
2018-11-18,0,False,AR
2018-11-25,36,False,AR
2018-12-02,0,False,AR
2018-12-09,0,False,AR
2018-12-16,19,False,AR
2018-12-23,22,False,AR
2018-12-30,0,False,AR
2015-01-04,60,False,CA
2015-01-11,63,False,CA
2015-01-18,78,False,CA
2015-01-25,53,False,CA
2015-02-01,44,False,CA
2015-02-08,54,False,CA
2015-02-15,59,False,CA
2015-02-22,56,False,CA
2015-03-01,43,False,CA
2015-03-08,62,False,CA
2015-03-15,34,False,CA
2015-03-22,55,False,CA
2015-03-29,77,False,CA
2015-04-05,35,False,CA
2015-04-12,44,False,CA
2015-04-19,49,False,CA
2015-04-26,24,False,CA
2015-05-03,54,False,CA
2015-05-10,49,False,CA
2015-05-17,46,False,CA
2015-05-24,62,False,CA
2015-05-31,36,False,CA
2015-06-07,41,False,CA
2015-06-14,47,False,CA
2015-06-21,47,False,CA
2015-06-28,57,False,CA
2015-07-05,40,False,CA
2015-07-12,63,False,CA
2015-07-19,25,False,CA
2015-07-26,69,False,CA
2015-08-02,31,False,CA
2015-08-09,71,False,CA
2015-08-16,40,False,CA
2015-08-23,24,False,CA
2015-08-30,29,False,CA
2015-09-06,25,False,CA
2015-09-13,43,False,CA
2015-09-20,57,False,CA
2015-09-27,53,False,CA
2015-10-04,85,False,CA
2015-10-11,47,False,CA
2015-10-18,70,False,CA
2015-10-25,60,False,CA
2015-11-01,44,False,CA
2015-11-08,68,False,CA
2015-11-15,38,False,CA
2015-11-22,65,False,CA
2015-11-29,47,False,CA
2015-12-06,91,False,CA
2015-12-13,92,False,CA
2015-12-20,100,False,CA
2015-12-27,42,False,CA
2016-01-03,63,False,CA
2016-01-10,43,False,CA
2016-01-17,52,False,CA
2016-01-24,66,False,CA
2016-01-31,80,False,CA
2016-02-07,51,False,CA
2016-02-14,74,False,CA
2016-02-21,25,False,CA
